rank,score,company_name,coman_status,segment,city,state,website,sales_usd,employees_total,ownership_type,best_contact_from_hoovers,n_contacts,n_with_email,sweep_key_person,rationale,outreach_status,mergent_email,mergent_phone
846,5,Kraft Foods Group Exports LLC,unclassified food/bev mfr,,Chicago,Illinois,http://www.kraftheinzcompany.com,4.9311771E7,222,Private,,3,3,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit,not contacted,,
847,5,"Lallemand Specialties, Inc.",unclassified food/bev mfr,,Milwaukee,Wisconsin,http://www.lallemand.com,2.4321283E7,165,Private,,3,3,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit,not contacted,,
848,5,"Lassonde Pappas And Company, Inc.",unclassified food/bev mfr,,Cherry Hill,New Jersey,http://www.lassondepappas.com,9.4809097E7,600,Private,Brian Larson — Principal,3,0,,"co-man status UNKNOWN — needs website check; 3 contact(s), no email flag; mid-market size fit; Northeast",not contacted,,
849,5,"Latino Enterprises, Inc.",unclassified food/bev mfr,,Atlanta,Georgia,http://www.lachiquitatortilla.com,3.8003712E7,150,Private,,3,2,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit,not contacted,,
850,5,M.G. Waldbaum Company,unclassified food/bev mfr,,Hopkins,Minnesota,http://www.michaelfoods.com,4.963093E8,2694,Private,,3,1,,co-man status UNKNOWN — needs website check; 1 email(s) in Hoovers; mid-market size fit,not contacted,,
851,5,"Maruchan Virginia, Inc.",unclassified food/bev mfr,,Richmond,Virginia,,2.2960352E7,185,Private,,3,2,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit,not contacted,,
852,5,Max's Kitchen,confirmed co-man (public sweep),wet-frozen-supplements,Modesto,CA,https://maxskitchensf.com,,,,,0,0,,verified co-man (public sweep),not contacted,,
853,5,Mayer Bros. Apple Products Inc.,unclassified food/bev mfr,,West Seneca,New York,http://www.mayerbros.com,4.1159248E7,150,Private,Garrett Mayer — Chief Executive Officer,3,0,,"co-man status UNKNOWN — needs website check; 3 contact(s), no email flag; mid-market size fit; Northeast",not contacted,,
854,5,"Mayfield Dairy Farms, LLC",unclassified food/bev mfr,,Athens,Tennessee,http://www.mayfielddairy.com,2.564712E7,1700,Private,,3,1,,co-man status UNKNOWN — needs website check; 1 email(s) in Hoovers; mid-market size fit,not contacted,,
855,5,Midwest Custom Bottling,confirmed co-man (public sweep),beverage,Pewaukee,WI,https://www.bottlingllc.com/,,,,,0,0,,verified co-man (public sweep),not contacted,,
856,5,"Milkco, Inc.",unclassified food/bev mfr,,Asheville,North Carolina,http://www.milkco.com,5.0104141E7,265,Private,,3,3,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit,not contacted,,
857,5,"Mirabito Holdings, Inc.",unclassified food/bev mfr,,Binghamton,New York,http://www.mirabito.com,1.0177427E8,375,Private,Brett Hughes — Vice President Of Real Estate Business Development,3,0,,"co-man status UNKNOWN — needs website check; 3 contact(s), no email flag; mid-market size fit; Northeast",not contacted,,
858,5,"Mizkan America, Inc.",unclassified food/bev mfr,,Schaumburg,Illinois,http://www.mizkan.com,5.2169714E8,1798,Private,,3,2,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit,not contacted,,
859,5,"Model Dairy, LLC",unclassified food/bev mfr,,Reno,Nevada,http://www.modeldairy.com,2.6174503E7,324,Private,,3,3,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit,not contacted,,
860,5,"Monogram Appetizers, LLC",unclassified food/bev mfr,,Memphis,Tennessee,http://www.monogramfoods.com,3.0152958E7,600,Private,,3,3,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit,not contacted,,
861,5,"Mountain View Brewery, LLC",unclassified food/bev mfr,,Lexington,Virginia,http://www.dbbrewingcompany.com,2.4663906E7,200,Private,,3,3,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit,not contacted,,
862,5,Navajo Agricultural Products Industry,unclassified food/bev mfr,,Farmington,New Mexico,http://napi.navajopride.com,2.3596886E7,1200,Nonprofit,,3,3,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit,not contacted,,
863,5,"Nestle Pizza Company, Inc.",unclassified food/bev mfr,,Glenview,Illinois,http://www.kraftheinz.com,3.9708424E7,1500,Private,,3,2,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit,not contacted,,
864,5,Nortera Foods USA Inc.,unclassified food/bev mfr,,Brockport,New York,http://www.norterafoods.com,4.0351196E8,3000,Private,Daniel Vielfaure — President,3,0,,"co-man status UNKNOWN — needs website check; 3 contact(s), no email flag; mid-market size fit; Northeast",not contacted,,
865,5,"North American Breweries, Inc.",unclassified food/bev mfr,,Rochester,New York,http://www.fifcousa.com,1.4901814E9,185000,Private,Richard Lozyniak — CoFounder And Operating Partner,3,2,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; large; Northeast,not contacted,,
866,5,North Coast Sea-Foods Corp.,unclassified food/bev mfr,,Boston,Massachusetts,http://www.northcoastseafoods.com,4.7410057E7,200,Private,James Stavis — President,3,0,,"co-man status UNKNOWN — needs website check; 3 contact(s), no email flag; mid-market size fit; Northeast",not contacted,,
867,5,Northwest Dairy Association,unclassified food/bev mfr,,Seattle,Washington,http://www.darigold.com,9.3269568E8,1300,Nonprofit,,3,3,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit,not contacted,,
868,5,"Northwest Frozen, LLC",unclassified food/bev mfr,,Seatac,Washington,,4.430331E7,200,Private,,3,2,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit,not contacted,,
869,5,"Nuovo Pasta Productions, Ltd.",unclassified food/bev mfr,,Stratford,Connecticut,http://www.nuovopasta.com,5.7328175E7,300,Private,Carl Zuanelli — President,3,0,,"co-man status UNKNOWN — needs website check; 3 contact(s), no email flag; mid-market size fit; Northeast",not contacted,,
870,5,"Nutrivo, LLC",unclassified food/bev mfr,,Aurora,Illinois,http://www.nutrivo.com,2.3069862E7,145,Private,,3,2,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit,not contacted,,
871,5,"OBS SMOKED & DISTRIBUTION, LLC",unclassified food/bev mfr,,Renton,Washington,http://www.oceanbeauty.com,8.1679474E7,300,Private,,3,2,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit,not contacted,,
872,5,"Oasis Trading Company, LLC",unclassified food/bev mfr,,Hillside,New Jersey,,5.3403866E7,150,Private,Anthony Alves — Chief Executive Officer,3,0,,"co-man status UNKNOWN — needs website check; 3 contact(s), no email flag; mid-market size fit; Northeast",not contacted,,
873,5,"Ocean Direct, LLC",unclassified food/bev mfr,,Gardena,California,http://www.oceandirect.com,4.0925129E7,239,Private,,3,3,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit,not contacted,,
874,5,"Ocean Gold Seafoods, Inc",unclassified food/bev mfr,,Westport,Washington,http://www.oceancos.com,2.4162836E7,150,Private,,3,1,,co-man status UNKNOWN — needs website check; 1 email(s) in Hoovers; mid-market size fit,not contacted,,
875,5,"Ocean Spray Cranberries, Inc.",unclassified food/bev mfr,,Middleboro,Massachusetts,http://www.oceanspray.com,1.2008817E9,2235,Public,Lee Doleman — Company Owner,3,3,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; large; Northeast,not contacted,,
